PDF Link,Document Title,Interactive vs Reactive,History,Mapping Strategy,Emotional Model,N,Emotion Critical ,Purpose,Project Stage,What Robot,Abstract,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,ISSN,ISBNs,DOI,Funding Information,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8028425,Communication atmosphere in humans and robots interaction based on fuzzy analytical hierarchy process,Fuzzy Rule Base,N,User Emotion to emotion output,Cicurmplex,NA,Component,General Interaction,Prototype,Nao,"Communication atmosphere in Human-Robot Interaction (HRI) is estimated by integrating emotional states of humans and robots based on the concept of Fuzzy Atmosfield (FA), where human emotion is estimated from bimodal communication cues (i.e., speech and facial expression) and robot emotion is generated by emotional expression synthesis. Fuzzy Analytical Hierarchy Process (FAHP) is used for dynamic weight calculation of emotional states of humans and robots in the FA model, in which a three-level hierarchy is adopted for the analysis of communication atmosphere and four acoustic cues (i.e., volume, rate, pitch, and duration) are utilized to calculate the dynamic weights. Experiment is conducted in a multi-modal emotional communication based humans-robots interaction (MEC-HRI) system, by which experimental results demonstrate the validity of proposed FA model. Understanding the communication atmosphere can help to facilitate smooth communication between humans and robots by adjusting robot behavior for emotion expression. The proposal is being planned for an atmosphere representation system for realizing causal communication in HRI and background music is being considered for the FA model.",R. Zhang; Y. He; Z. Liu,"School of Automation, China University of Geosciences, Wuhan 430074, China, Hubei Key Laboratory of Advanced Control and Intelligent Automation for Complex Systems; School of Automation, China University of Geosciences, Wuhan 430074, China, Hubei Key Laboratory of Advanced Control and Intelligent Automation for Complex Systems; School of Automation, China University of Geosciences, Wuhan 430074, China, Hubei Key Laboratory of Advanced Control and Intelligent Automation for Complex Systems",2017 36th Chinese Control Conference (CCC),,2017,,,6767,6772,,,,,Communication Atmosphere;Human-Robot Interaction;Fuzzy Analytical Hierarchy Process;Dynamic Weight,Atmospheric modeling;Robots;Speech;Solid modeling;Real-time systems;Acoustics,analytic hierarchy process;fuzzy control;human-robot interaction,communication atmosphere;fuzzy analytical hierarchy process;human-robot interaction;fuzzy atmosfield;human emotion estimation;bimodal communication cues;robot emotion generation;emotional expression synthesis;FAHP;dynamic weight calculation;three-level hierarchy;acoustic cues;dynamic weights;multimodal emotional communication;MEC-HRI system;emotion expression;atmosphere representation system;causal communication;background music,,2,16,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6622536,Communication based on Frankl's psychology for humanoid robot partners using emotional model,Rule-based Frankls Psychology,Y,User Emotion to emotion output,Custom Discrete,4,Core,General Interaction,Implemented and Evaluated,Palro,"This paper discusses a robot partner system for natural communication using emotional models. In our daily life, robot partners should have an emotional model in order to co-exist and to realize natural communication with people. In this paper, we propose several emotional models for human-robot interaction based on computational intelligence. First we discuss the importance of emotion and its functions in the social interaction. Next, we propose an emotional model based on emotion, feeling, and mood. Furthermore, we use the emotional model as a method for communication system, and also, we discuss Frankl's psychology as the basis of communication. Finally, we show several experimental results of the proposed method, and discuss the utterance systems for a robot partner.",Jinseok Woo; N. Kubota; J. Shimazaki; H. Masuta; Y. Matsuo; Hun-ok Lim,"Graduate School of System Design, Tokyo Metropolitan University, Japan; Graduate School of System Design, Tokyo Metropolitan University, Japan; Graduate School of System Design, Tokyo Metropolitan University, Japan; Dept. of Mechanical Engineering, Kanagawa University, Yokohama, Japan; Graduate School of System Design, Tokyo Metropolitan University, Japan; Dept. of Mechanical Engineering, Kanagawa University, Yokohama, Japan",2013 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),,2013,,,1,8,,,,,Robot Partners;Emotional Models;Computational Intelligence;Human-robot interaction;Neural Network,Robot sensing systems;Neurons;Educational institutions;Mood;Computational modeling,humanoid robots;human-robot interaction;psychology,Frankl psychology;humanoid robot partner sytem;emotional model;human-robot interaction;computational intelligence;social interaction;communication system;utterance systems,,,36,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=727840,Communication between behavior-based robots with emotion model and humans,Rule-based Biology Model,N,User Emotion to emotion output,Custom Discrete,4,Core,General Interaction,Prototype,WAMOEBA-2,"This study discusses the communication between autonomous robots and humans through the development of a robot which has an emotion model. The model refers to the internal secretion system of humans, and it has four kinds of hormone parameters to be used for adjusting various internal conditions such as motor output cooling fan output and sensor gain. We surveyed 126 visitors at '97 International Robot Exhibition held in Tokyo, Japan, in order to evaluate psychological impressions of the robot. As a result, the human friendliness of the robot was confirmed and some factors of the human-robot emotional communication were discovered.",T. Ogata; S. Sugano,"Dept. of Mech. Eng., Waseda Univ., Tokyo, Japan; NA","SMC'98 Conference Proceedings. 1998 IEEE International Conference on Systems, Man, and Cybernetics (Cat. No.98CH36218)",,1998,2,,1095,1100 vol.2,,,,,,Humans;Fluids and secretions;Intelligent robots;Robot sensing systems;Psychology;Hardware;Communication system control;Man machine systems;Electronic mail;Biochemistry,robots;man-machine systems;interactive systems,behavior-based robots;emotion model;communications;autonomous robots;man machine systems;psychological impressions;human friendliness,,4,10,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8252082,Computation mechanism for situated sentient robot,Factor table (finite state),N,Human and external to emotion output and internal process,Custom Discrete,24,Component,General Interaction,Prototype,Digital,"Emotions shape how we remember our world, how we perceive it, and which decisions we take. This study proposed a novel three-component computation mechanism that enables a robot to reason about emotions. The mechanism contains the following parts: (i) information acquisition, (ii) formal knowledge description in a form of ontology, and (iii) Bayesian Network (BN). An entropy reduction method from information theory is used to design an effective Human-Robot Interaction (HRI) and to gain a deeper understanding about proposed reasoning mechanism. The method also revealed the most influential BN variables that efficiently resolve the reasoning ambiguities. The modified OCC model of emotions in BN is implemented to ensure adaptation of the system to multiple sources of uncertainty. Variables in a hand crafted BN are linked together, where each link is quantified by spreading influences of a different strength that parent nodes have on child nodes. The paper introduces also the system architecture for realization of the physical robot setup.",T. Stipancic; Y. Ohmoto; S. A. Badssi; T. Nishida,"Graduate school of Informatics, Kyoto University, Kyoto, Japan; Graduate school of Informatics, Kyoto University, Kyoto, Japan; Graduate school of Informatics, Kyoto University, Kyoto, Japan; Graduate school of Informatics, Kyoto University, Kyoto, Japan",2017 Computing Conference,,2017,,,64,73,,,,,affective robotics;emotions;context-awareness;probabilistic graphical models;ontology;ubiquitous computing,Cognition;Robot sensing systems;Games;Ontologies;Uncertainty;Informatics,Bayes methods;belief networks;entropy;human-robot interaction;inference mechanisms;ontologies (artificial intelligence),reasoning mechanism;human-robot interaction;Bayesian network;physical robot setup;modified OCC model;reasoning ambiguities;influential BN variables;information theory;entropy reduction method;formal knowledge description;information acquisition;three-component computation mechanism;situated sentient robot,,,29,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8947977,Computational modeling of Emotion-motivated Decisions for Continuous Control of Mobile Robots,Rule-based Biology Model,N,Non-emotion stimuli to internal process,Custom Discrete,4,Core,Performance,Implemented and Evaluated,Digital,"Immediate rewards are usually very sparse in the real world, which brings a great challenge to plain learning methods. Inspired by the fact that emotional reactions are incorporated into the computation of subjective value during decision-making in humans, an emotion-motivated decision-making framework is proposed in this paper. Specifically, we firstly build a brain-inspired computational model of amygdala-hippocampus interaction to generate emotional reactions. The intrinsic emotion derives from the external reward and episodic memory, and represents three psychological states: valence, novelty and motivational relevance. Then, a model-based decision-making approach with emotional intrinsic rewards is proposed to solve the continuous control problem of mobile robots. This method can execute online model-based control with the constraint of the model-free policy and global value function, which is conducive to getting a better solution with a faster policy search. The simulation results demonstrate that the proposed approach has higher learning efficiency and maintains a higher level of exploration, especially in some very sparse-reward environments.",X. Huang; W. Wu; H. Qiao,"State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, 100190, China, and also with Beijing Key Laboratory of Research and Application for Robotic Intelligence of Hand-Eye-Brain Interaction, Beijing, 100190 and the University of Chinese Academy of Sciences, Beijing, 100049.; State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, 100190, China, and also with Beijing Key Laboratory of Research and Application for Robotic Intelligence of Hand-Eye-Brain Interaction, Beijing, 100190 and the University of Chinese Academy of Sciences, Beijing, 100049.; State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, 100190, China, also with the Beijing Key Laboratory of Research and Application for Robotic Intelligence of Hand-Eye-Brain Interaction, Beijing, 100190 and the University of Chinese Academy of Sciences, Beijing, 100049, and also with the CAS Center for Excellence in Brain Science and Intelligence Technology, and the Cloud Computing Center, Chinese Academy of Sciences.",IEEE Transactions on Cognitive and Developmental Systems,,2019,PP,99,1,1,,,,,Brain-inspired Computing;Emotion-motivated Learning;Emotion-memory Interactions;Decision-making;Reinforcement Learning.,,,,,,,,,,,IEEE,IEEE Early Access Articles,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1398288,Conceptual spaces and robotic emotions,Rule-based Computational Model,N,Human and external to emotion output and internal process,Binary,2,Component,Performance,Prototype,Digital,"A robot architecture is proposed that integrates in a simple and principled way artificial vision, artificial emotions and symbolic knowledge representation by means of a rich and expressive conceptual representation where affective computing takes place. The role of artificial emotions is to handle the expectation and confirmation mechanism at the basis of the evolution of the architecture. Experimental results are related to an experimental setup in which an anthropomorphic robotic hand system interacts with a human opponent",A. Chella; I. Infantino; I. Macaluso,"DINFO, Palermo Univ., Italy; NA; NA","2004 IEEE International Conference on Systems, Man and Cybernetics (IEEE Cat. No.04CH37583)",,2004,1,,144,149 vol.1,,,,,,Orbital robotics;Robot kinematics;Robot sensing systems;Computer architecture;Layout;Human robot interaction;Intelligent robots;Cognitive robotics;Robot vision systems;Anthropomorphism,artificial intelligence;cognitive systems;emotion recognition;knowledge representation;manipulators,conceptual spaces;robotic emotion;robot architecture;artificial vision;artificial emotion;symbolic knowledge representation;confirmation mechanism;anthropomorphic robotic hand system,,1,21,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6100891,Converting emotional voice to motion for robot telepresence,Factor table,N,User Emotion to emotion output,Circumplex,NA,Core,General Interaction,Implemented and Evaluated,Nao,"In this paper we present a new method for producing affective motion for humanoid robots. The NAO robot, like other humanoids, does not possess facial features to convey emotion. Instead, our proposed system generates pose-independent robot movement using a description of emotion through speed, intensity, regularity and extent (DESIRE). We show how the DESIRE framework can link the emotional content of voice and gesture, without the need for an emotion recognition system. Our results show that DESIRE movement can be used to effectively convey at least four emotions with user agreement 60-75%, and that voices converted to motion through SIRE maintained the same emotion significantly higher than chance, even across cultures (German to Japanese). Additionally, portrayals recognized as happiness were rated significantly easier to understand with motion over voice alone.",A. Lim; T. Ogata; H. G. Okuno,"Graduate School of Informatics, Sakyo, Kyoto, Japan; Graduate School of Informatics, Sakyo, Kyoto, Japan; Graduate School of Informatics, Sakyo, Kyoto, Japan",2011 11th IEEE-RAS International Conference on Humanoid Robots,,2011,,,472,479,,,,,,Speech;Emotion recognition;Humanoid robots;Jitter;Joints;Animation,emotion recognition;humanoid robots,affective motion;emotional voice;robot telepresence;NAO robot;DESIRE framework;humanoid robots,,7,37,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4745877,Cooperative Negotiation and Control Strategy of A Shape-shifting Robot,Rule-based Computational Model,N,Non-emotion stimuli to internal process,Custom Discrete,3,Component,Performance,Prototype,Custom Robot,The complex environment requires mobile robots to possess high capability of obstacle negotiation. Cooperative negotiation is proposed to endow the AMOEBA-I robot with capability of obstacle negotiation and to reinforce the adaptability of the robot in unstructured environment. A mathematical model is established. The relationship between the height that the robot can overcome and angle with gravity offset's variation is analyzed theoretically. The maximum heights that conventional negotiation method can reach and cooperative negotiation method can reach are compared. Control strategy of autonomous negotiation is presented. The emotion model is established and the robot's control strategy is fine-tuned according to the change of emotion. Experimental results prove the validity of the cooperative negotiation method and autonomous control strategy.,B. Li; S. Ma; T. Liu; J. Liu,"Robotics Laboratory of Chinese Academy of Sciences, Shenyang Institute of Automation (SIA) No.114 Nanta Street Shenyang, Liaoning, China, libin@sia.cn; Center for Promotion of the COE Program, Ritsumeikan University 1-1-1 Nojihigashi, Kusatsu-Shi Shiga-ken, Japan, shugen@fc.ritsumei.ac.jp; Robotics Laboratory of Chinese Academy of Sciences, Shenyang Institute of Automation (SIA) No. 114 Nanta Street Shenyang, Liaoning, China, tlliu@sia.cn; Robotics Laboratory of Chinese Academy of Sciences, Shenyang Institute of Automation (SIA) No. 114 Nanta Street Shenyang, Liaoning, China, liujinguo@sia.cn","2008 IEEE International Workshop on Safety, Security and Rescue Robotics",,2008,,,53,57,,,,,shape-shifting robot;cooperation;negotiation;emotion,Shape control;Mobile robots;Robotics and automation;Machine intelligence;Gravity;Robot control;Intelligent robots;Potentiometers;Wheels;Conferences,mobile robots,cooperative negotiation;shape-shifting robot;mobile robots;AMOEBA-I robot;obstacle negotiation;unstructured environment;cooperative negotiation method;autonomous negotiation,,2,17,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6007506,Decision making based on reinforcement learning and emotion learning for social behavior,Reinforcement Learning,N,Non-emotion stimuli to internal process,Discrete Single,1,Core,General Interaction,Prototype,Digital,"In this paper, we propose a decision making method based on reinforcement learning and emotion learning (DRE) for inducing social behaviors of robots. Emotion of animals has an important role in their social interactions. We attempt to incorporate emotion into decision making of robots. To make a social decision making, the DRE combines a decision based on intrinsic fear emotion with a strategic decision obtained by reinforcement learning. Agents with the DRE learn state values by reinforcement learning and learn emotion values by fear emotion learning. In simulation experiments, the effectiveness of the DRE is verified concerning the emergence of social behaviors and the adaptability to an environmental change through an unmoving target search problem.",A. Matsuda; H. Misawa; K. Horio,"Graduate School of Life Science and Systems Engineering, Kyushu Institute of Technology, 2-4 Hibikino, Wakamatsu, Kitakyushu 808-0196 Japan; Graduate School of Life Science and Systems Engineering, Kyushu Institute of Technology, 2-4 Hibikino, Wakamatsu, Kitakyushu 808-0196 Japan; Graduate School of Life Science and Systems Engineering, Kyushu Institute of Technology, 2-4 Hibikino, Wakamatsu, Kitakyushu 808-0196 Japan",2011 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE 2011),,2011,,,2714,2719,,,,,decision making;reinforcement learning;emotion;fear emotion learning;social behavior,Robots;Learning;Animals;Decision making;Humans;Adaptation models;Search problems,decision making;learning (artificial intelligence);multi-robot systems;object detection,decision making;reinforcement learning;emotion learning;robot social behaviors;animals emotion;DRE;intrinsic fear emotion;strategic decision;fear emotion learning;unmoving target search problem,,6,8,,,,,IEEE,IEEE Conferences,,
,Design and Evaluation of a Peripheral Robotic Conversation Companion,Rule-based Computational Model,N,Non-emotion stimuli to emotion output,Discrete Custom,3,Trivial,General Interaction,Implemented and Evaluated,Kipl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4058870,Design of a Social Mobile Robot Using Emotion-Based Decision Mechanisms,Factor table,Y,Non-emotion stimuli to emotion output,PAD,NA,Component,general Interaction,Prototype,RWI Magellan Pro,"In this paper, we describe a robot that interacts with humans in a crowded conference environment. The robot detects faces, determines the shirt color of onlooking conference attendants, and reacts with a combination of speech, musical, and movement responses. It continuously updates an internal emotional state, modeled realistically after human psychology research. Using empirically-determined mapping functions, the robot's state in the emotion space is translated to a particular set of sound and movement responses. We successfully demonstrate this system at the AAAI '05 Open Interaction Event, showing the potential for emotional modeling to improve human-robot interaction",G. A. Hollinger; Y. Georgiev; A. Manfredi; B. A. Maxwell; Z. A. Pezzementi; B. Mitchell,"The Robotics Institute, Carnegie Mellon University, Pittsburgh, PA 15213. gholling@andrew.cmu.edu; Department of Engineering, Swarthmore College, Swarthmore, PA 19081. yavor.georgiev@alum.swarthmore.edu; Department of Engineering, Swarthmore College, Swarthmore, PA 19081. amanfre1@swarthmore.edu; Department of Engineering, Swarthmore College, Swarthmore, PA 19081. maxwell@swarthmore.edu; Department of Computer Science, Johns Hopkins University, Baltimore, MD 21218. zap@cs.jhu.edu; Department of Computer Science, Johns Hopkins University, Baltimore, MD 21218. ben@cs.jhu.edu",2006 IEEE/RSJ International Conference on Intelligent Robots and Systems,,2006,,,3093,3098,,,,,human-robot interaction;robot emotions;face recognition,Mobile robots;Decision making;Intelligent robots;Human robot interaction;Orbital robotics;Ethics;Face detection;Robot sensing systems;Educational institutions;Computer science,face recognition;intelligent robots;mobile robots;robot vision,social mobile robot;emotion-based decision mechanisms;face detection;internal emotional state;AAAI '05 Open Interaction Event;human-robot interaction,,16,11,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1491594,Design of behavior decision system with storage in mobile robots,Factor table,N,Human and external to emotion output and internal process,Discrete Custom,10,Component,general Interaction,Model,NA,"This paper presents a design of the previous proposed behavior decision system with storage in mobile robots. An index, that is, the functional called tension level with two or more emotions and fuzzy similarity level are noticed as important factors. The former is memorized with another data in a storage module and is used in a reproduction module and a behavior decision module. The latter is used in a matching processing between memory and current status.",S. Yamada; M. Katoh; Xue Li; K. Wada,"Osaka Inst. of Technol., Japan; Osaka Inst. of Technol., Japan; Osaka Inst. of Technol., Japan; Osaka Inst. of Technol., Japan",SICE 2004 Annual Conference,,2004,2,,1159,1163 vol. 2,,,,,,Mobile robots;Polynomials;Emotion recognition;Data processing;Image storage;Frequency;Roads;Safety;Brightness;Temperature,mobile robots;storage media;fuzzy set theory,mobile robot;storage system;tension level;behavior decision system;fuzzy similarity level;reproduction module,,,10,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6839819,Design of emotion generation model and action selection for robots using a Self Organizing Map,Factor table,N,Human and external to emotion output and internal process,Discrete Custom,6,Component,Performance,Prototype,Robotic Arm,"Our research has been focused on developing an interaction between humans and robots to enhance an intellectual action of the service robots. From our previous research, we have constructed a model of mechanism of consciousness and behaviors, this software architecture is called Consciousness-Based Architecture (CBA). Furthermore, the robot should select the action and express the emotion by itself, which depends on its surrounding environment. Therefore, this research presents a system which forms and expresses the emotions of the robot. The intrinsic motivation and external situations of robot are used to analyze and classify the behavior and the emotion by a Self-Organizing Map (SOM). We attempt to describe the integration of a behavior map and an emotion map into CBA module. We confirmed the effectiveness of the proposed system by an experiment in an environment using a conscious behavior robot (Conbe-I).",W. Jitviriya; E. Hayashi,"Dept. of Mechanical Information Science and Technology, Kyushu Institute of Technology (Iizuka campus), Fukuoka, Japan; Dept. of Mechanical Information Science and Technology, Kyushu Institute of Technology (Iizuka campus), Fukuoka, Japan","2014 11th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (ECTI-CON)",,2014,,,1,6,,,,,Motivation module;Self-Organizing Map (SOM);Emotion model;Consciousness-Based Architecture (CBA),Green products;Vectors;Cameras;Robot vision systems;Equations;Mathematical model,emotion recognition;human-robot interaction;intelligent robots;self-organising feature maps;service robots;software architecture,intellectual action;service robots;consciousness-based architecture;CBA module;intrinsic motivation;external robot situations;behavior classification;emotion classification;self-organizing map;SOM;conscious behavior robot;Conbe-I,,1,12,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5651005,Designing reactive emotion generation model for interactive robots,Rule-based - Computational Model,N,Human and external to emotion output ,Discrete Custom,4,Core,General Interaction,Prototype,GOMY,Design of reactive emotion generation mechanism for interactive robots is proposed in this paper. Sorts of reactive emotions and the framework to generate these emotions against stimuli were identified based on psychological researches on humans' emotions. Computational models of reactive emotion system were also proposed with dynamic models. Each model realized necessary characteristics for reactive process successfully. The developed model was implemented in a toy-like robot which is called `GOMY'. The robot can show emotional response reactively against stimulus change. The proposed reactive emotion model can be considered as the most basic foundation of general emotional process for interactive robots.,H. Kim; S. Koo; D. Kwon,"Human-Robot Interaction Research Center, Department of Mechanical Engineering, KAIST, Daejeon, Republic of Korea; Human-Robot Interaction Research Center, Department of Mechanical Engineering, KAIST, Daejeon, Republic of Korea; Human-Robot Interaction Research Center and with Faculty of Mechanical Engineering, KAIST, Daejeon, Republic of Korea",2010 IEEE/RSJ International Conference on Intelligent Robots and Systems,,2010,,,2270,2275,,,,,,Computational modeling;Mathematical model;Adaptation model;Equations;Robot sensing systems;Appraisal,emotion recognition;humanoid robots;human-robot interaction;psychology,reactive emotion generation model;interactive robots;psychology;humans' emotions;toy-like robot;GOMY,,1,10,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4937697,Developing preferential attention to a speaker: A robot learning to recognise its carer,Factor table ,N,User Emotion to Internal Process and emotion output,Custom Discrete,5,Component,General Interaction,Prototype,Erwin,"In this paper we present a socially interactive multi-modal robotic head, ERWIN - Emotional Robot With Intelligent Networks, capable of emotion expression and interaction via speech and vision. The model presented shows how a robot can learn to attend to the voice of a specific speaker, providing a relevant emotional expressive response based on previous interactions. We show three aspects of the system; first, the learning phase, allowing the robot to learn faces and voices from interaction. Second, recognition of the learnt faces and voices, and third, the emotion expression aspect of the system. We show this from the perspective of an adult and child interacting and playing a small game, much like an infant and caregiver situation. We also discuss the importance of speaker recognition in terms of human-robot-interaction and emotion, showing how the interaction process between a participant and ERWIN can allow the robot to prefer to attend to that person.",J. C. Murray; L. Canamero,"Adaptive Systems Research Group, University of Hertfordshire, College Lane, Hatfield, AL10 9AB, UK; Adaptive Systems Research Group, University of Hertfordshire, College Lane, Hatfield, AL10 9AB, UK",2009 IEEE Symposium on Artificial Life,,2009,,,77,84,,,,,,Human robot interaction;Intelligent robots;Robot vision systems;Speaker recognition;Emotion recognition;Speech recognition;Face recognition;Adaptive systems;Educational institutions;Intelligent networks,emotion recognition;face recognition;human-robot interaction;intelligent networks;learning (artificial intelligence);speaker recognition,robot learning;interactive multimodal robotic head;ERWIN;Emotional Robot With Intelligent Networks;emotion expression;speaker recognition;human-robot-interaction,,,21,,,,,IEEE,IEEE Conferences,,
,Development of an Emotion-Competent SLAM Agent,Rule-based Biology Model,Y,Non-emotion stimuli to internal process and emotion,Circumplex,NA,Component,Performance,Implemented and Evaluated,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6926287,Development of behavior and emotion models for Conbe-I using a Self-Organizing Map learning,Factor table ,N,Non-emotion stimuli to internal process and emotion,Custom Discrete,5,Component,General Interaction,Prototype,Conbe-I,"We are attempting to develop a robot with a ‚Äúconsciousness‚Äù resembling that of a human or an animal in order to enhance an intellectual activity of the robot. In our previous study, we have constructed a model of mechanism of consciousness and behaviors based on the relationship between the action strategies and consciousness levels, this software architecture is called Consciousness-Based Architecture (CBA) module. In addition, the robot should select the behavior and express the emotion by itself, which depends on its surrounding environment. Therefore, in this paper, we have examined the intrinsic motivation and the external situations of robot are used to analyze and classify the behavior and the emotion by a Self-Organizing Map (SOM) that is trained using unsupervised learning, and we attempt to describe the integration of a behavior map and an emotion map into a CBA module. The conscious behavior robot (Conbe-I) has been implemented to show the effectiveness of the proposed system.",W. Jitviriya; M. Koike; E. Hayashi,"Graduated School of Computer Science and System Engineering, Kyushu Institute of Technology, Fukuoka, Japan; Graduated School of Computer Science and System Engineering, Kyushu Institute of Technology, Fukuoka, Japan; Dept. of Mechanical Information Science and Technology, Faculty of Computer Science and System Engineering, Kyushu Institute of Technology, Fukuoka, Japan",The 23rd IEEE International Symposium on Robot and Human Interactive Communication,,2014,,,411,416,,,,,Consciousness-Based Architecture (CBA);Motivation Module;Self-Organizing Map (SOM);Emotion model,Mathematical model;Equations;Service robots;Neurons;Green products;Vectors,control engineering computing;humanoid robots;intelligent robots;learning (artificial intelligence);self-organising feature maps;software architecture,behavior model;emotion model;conscious behavior robot;Conbe-I;self-organizing map learning;SOM;robot intellectual activity;software architecture;consciousness-based architecture module;CBA module,,,15,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5756911,Dynamic behaviour conception for EmI companion robot,Factor table ,N,Human and external to emotion output,Eckman,6,Core,General interaction,Prototype,Digital,"This article presents research work done in the domain of nonverbal emotional interaction for the EmotiRob project. It is a component of the MAPH project, the objective of which is to give comfort to vulnerable children and/or those undergoing long-term hospitalisation through the help of an emotional robot companion. It is important to note that we are not trying to reproduce human emotion and behavior, but trying to make a robot emotionally expressive. The studies carried out on perception and emotional synthesis have allowed us to develop our emotional model of interaction: iGrace. iGrace actually allow a system display emotions as a static mode. This mode has ever been evaluated with our avatar: ArtE, we developped in Flash. The rate of satisfaction (86%) of the evaluation allowed us embeded static mode on our robotics platform: EmI - Emotional Model of Interaction. Now, we want add dynamics on EmI robot and add lifelike in its reactions. This paper will present different hypothesis we used for iGrace emotional model, algorithm for behaviour dynamic , evaluation for static and dynamic mode, and EmI robotics conception. We begin the article by MAPH and EmotiRob project presentation. Then, we quickly describe the computational model of emotional experience iGrace that we have created, the integration of dynamics and iGrace evaluation. We conclude with a description of the architecture of Emi, as well as improvements to be made to its next generation.",S. Saint-Aime; C. Jost; B. Le-Pevedic; D. Duhaut,"Valoria - University of Bretagne Sud, Vannes, France; Valoria - University of Bretagne Sud, Vannes, France; Valoria - University of Bretagne Sud, Vannes, France; Valoria - University of Bretagne Sud, Vannes, France",ISR 2010 (41st International Symposium on Robotics) and ROBOTIK 2010 (6th German Conference on Robotics),,2010,,,1,8,,,,,,Robot kinematics;Avatars;Humans;Eyebrows;Lips;Speech,,,,1,,,,,,VDE,VDE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6181741,Effect of emotional synchronization using facial expression recognition in human-robot communication,Factor table ,N,User Emotion to emotion output,Circumplex,NA,Core,General interaction,Implemented and Evaluated,KAMIN_FA1,"In this paper, we developed a KANSEI communication system between human and robot based on emotional synchronization to human emotional state using facial expression recognition. And we conducted experiments to evaluate the effectiveness of the proposed system. The robot recognizes human emotion through their facial expressions, and synchronizes its own emotion with the recognized emotion dynamically by using a vector field of dynamics. Then the robot expresses its own emotions by facial expressions. In the communication experiment, we found that the subjects' feeling became much comfortable after communicating with the robot in the case of emotional synchronization, while that the subjects felt a little uncomfortable after communicating with the robot in the case of non-synchronization. Meanwhile, subjects in the case of emotional synchronization communicated much more with the robot, and the communication time was as double times as the time when communicated in the case of non-synchronization. Furthermore, subjects communicated in the case of emotional synchronization had good impressions on the robot, and also were much better than the impressions in the case of non-synchronization. So it was confirmed in this study that the emotional synchronization in human-robot communication could be effective to make human keeping a comfortable state and would make the robot much more favorable and acceptable to human.",Y. Li; M. Hashimoto,"Department of Kansei Engineering, Shinshu University, Nagano, Japan; Shinshu University, Ueda, Nagano 386-8567, Japan",2011 IEEE International Conference on Robotics and Biomimetics,,2011,,,2872,2877,,,,,,Humans;Robots;Synchronization;Emotion recognition;Face recognition;Vectors;Face,emotion recognition;human-robot interaction,emotional synchronization;facial expression recognition;human robot communication;KANSEI communication system;human emotional state;communication time,,5,13,,,,,IEEE,IEEE Conferences,,
